batch,image,text
batch_43,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_43/195051-2738648722948621.png,"It’s Finally Friday! Join us for lunch, hangout and have a beer or two! $2.25 BudLight, Ultra, Coors Draft til 7pm $3 Berry whites til 10pm $8.99 Tilapia Platter $8.99 BBQ Fried Shrimp Join us tonight for Johnnie Bananas at 10pm then tomorrow for the Champions League Final Watch Party With Johnnie back playing before and after the game."
batch_43,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_43/195052-2737694179710742.png,"Thursday is Steak Day! Come hangout and have some steaks and beers! Make your plans to hangout and watch the Champions League Final Saturday! Johnnie Bananas will be playing before and after the game! $13.99 Steak, Baked Potato and Side Salad $2.25 Draft BudLight, Ultra, Coors til 7pm $3 Berry Whites til 10pm"
batch_43,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_43/195053-2734903473323146.png,"Join us today for some food and drinks to cure the Monday blues. $2.25 Bud, Ultra, Coors draft til 7pm $3 Berry Whites til 10pm $7 Quesadillas Make your plans now to join us for the Champions League Final Saturday May 28th with Johnnie Bananas hosting!"
batch_43,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_43/195054-2734015846745242.png,Sunday Funday Brunch! 2pm - 6pm DJ Lippy Rage🍊🥂🍾 $10 Mimosa Bottles 11a-4p $5 Bloody Marys 11a-4p $3 Berry Whites til 10pm Wings: .65 Boneless .85 Traditional
batch_43,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_43/195055-2710696095743884.png,It’s Taco Tuesday! Super Trivia tonight at 8pm! Prizes and Giveaways! Make sure to check in on Facebook to get your raffle ticket for our Vegas Trip giveaway! $.75 Beef tacos $1.50 Pastor tacos $3 Berry Whites til 10pm $3 Mexican beers $5 Margaritas
batch_43,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_43/195056-2698674683612692.png,It’s Taco Tuesday! Trivia tonight at 8pm! Winners get a prize and bragging rights! $.50 beef tacos $3 Berry Whites til 10pm $3 Mexican beers $5 Margaritas Make sure you come by and ask about Anniversary Week! We will have events and specials everyday. You don’t want to miss out!
batch_43,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_43/195057-2692493194230841.png,It’s Taco Tuesday! Trivia tonight at 8pm! Winners get a prize and bragging rights! $.50 beef tacos $3 Berry Whites til 10pm $3 Mexican beers $5 Margaritas
batch_43,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_43/195058-2673047772842050.png,"Sunday Funday! Matt Lip playing the jams from 2pm-6pm! $.65 Boneless Wings $.85 Traditional Wings $2.25 Draft Bud, Ultra, Coors til 7pm $3 Berry Whites til 10pm"
batch_43,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_43/195059-2661039490709545.png,"Sunday Bubbly Brunch! Matt Lip playing the jams from 2pm-6pm! $.65 Boneless Wings $.85 Traditional Wings $2.25 Draft Bud, Ultra, Coors til 7pm $3 Berry Whites til 10pm"
batch_43,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_43/195060-2650567968423364.png,It’s Taco Tuesday! Come hangout with us and enjoy some tacos and beer. Trivia tonight at 8pm! Winners get a prize and bragging rights! $.50 beef tacos $3 Berry Whites til 10pm $3 Mexican beers $5 Margaritas
