batch,image,text
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/100607-5870009953016191.png,🗓 April 18th- April 24th TOTW 🗓 🌊 SC Surf wants to congratulate all of our players for being selected in this weeks ‘Team of the Week’. Players are selected by their coaches by showing different traits throughout the week including sportsmanship/ability/attitude at games or practices. Well done to everyone involved 🏄‍♂️🏄‍♀️🏄
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/100795-5047610251928807.png,"The perfect blend of spicy and sweet, our New Mexican Martini is a green chile infused twist on a classic cocktail. 🍸 Try one today!"
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/101609-10165806929785276.png,"Growing locally to serve our customers and community -- want to join us? We are looking to fill several positions on our team. To learn more about these terrific opportunities and to work at our community's truly local bank, click on the links below. Customer Services Representative: https://bit.ly/3Karu0Q:=:https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=07372372-77a5-45e9-8573-f67327c3c3ec&ccId=19000101_000001&jobId=427043&lang=en_US&source=CC4 Accounting Manager: https://bit.ly/3J74yzB:=:https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=07372372-77a5-45e9-8573-f67327c3c3ec&ccId=19000101_000001&jobId=423923&lang=en_US&source=CC4 Mortgage Loan Officer: https://bit.ly/3J7Ecfs:=:https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=07372372-77a5-45e9-8573-f67327c3c3ec&ccId=19000101_000001&jobId=431360&lang=en_US&source=CC4 Financial Planning and Analysis: https://bit.ly/3DE2nkp:=:https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=07372372-77a5-45e9-8573-f67327c3c3ec&ccId=19000101_000001&jobId=431290&lang=en_US&source=CC4"
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/101765-1398870910586399.png,Get a $50 Chilis Gift Card for ONLY $40! First come first served! 📍https://amzn.to/3OUV2lL:=:https://www.amazon.com/dp/B00BXLSVEM/ref=cm_sw_r_as_gl_api_gl_i_dl_4MSBYFVXJPH79J0MY171
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/102461-1333489840462674.png,"Registration in 4-H Online Opens on January 19, 2022 and Closes on February 2, 2022. Photos must be Uploaded in Submittable by February 2, 2022."
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/10396-3066870660221922.png,Happy Friday! 🌮😂
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/104293-304297155061035.png,"What are the symptoms of heart disease? Sometimes heart disease may be “silent” and not diagnosed until a person experiences signs or symptoms of a heart attack, heart failure, or an arrhythmia. When these events happen, symptoms may include: -Heart attack -Arrhythmia -Heart failure Learn more about heart disease symptoms & prevention at: https://bit.ly/3ufkuKM:=:https://www.nm.org/healthbeat/healthy-tips/heart-facts-infographic"
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/104360-4807222532666950.png,"Get ready to ride! Don’t miss our great offers on new Heavyweight Indian Motorcycles at Indian Motorcycle Sioux Falls. Right now, get financing as low as 3.99% APR for 60 months OR up to $1,000 trade-in on new 2020 and 2021 Heavyweights. Visit https://bit.ly/3MjSPis:=:https://www.indianmotorcyclesf.com/default.asp?page=xNewInventory&make=indian+motorcycle&s=Stock&d=A&p=1#page=xNewInventory&make=indian+motorcycle for more information. Find yours today!"
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/104479-1908594202681467.png,"BLM Protestors Are Marching Through Neighborhoods, Tell White Residents, “Give Us Your Homes”: https://buff.ly/3IOhCZp:=:https://awm.com/blm-protestors-are-marching-through-neighborhoods-tell-white-residents-give-us-your-homes-2-2-2-3-2-2-2-2/"
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/10463-1954057104795498.png,"Megadeth's 'So Far, So Good... So What' tour was 144 gigs across 10 countries. 8 in the UK, with Sanctuary, starting at Antrim Forum, Antrim, Northern Ireland and ending at the Hammersmith Odeon. They played Monsters of Rock too in 1988 and Christmas On Earth at the Queens Hall in Leeds, in December 1987. The 114 USA shows began at Reseda Country Club, Los Angeles, CA and the main bulk finished at Santa Monica Civic Auditorium, Santa Monica, CA, also with Sanctuary as well as Flotsam and Jetsam."
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/106126-10166474960070077.png,"Happy Tuesday, Longhorns! In today’s issue: + Ukrainian and Russian students discuss the Russian invasion of Ukraine + Professor Leonard Moore is nominated for an NAACP award + Texas Folklorico hopes to rebuild after facing pandemic struggles All this and more: bit.ly/03-01Issue:=:https://thedailytexan.com/2022/03/01/dt-3-1-22/"
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/107216-479041720283164.png,Repost from @vigilant_mma • 🚨🚨 #MuayThai on the MAIN CARD at #CombatQuest17 2/6/22 at @thedallasbull will be straight ⛽️ as (1-0) @seckondchaynce813 of @payakmuaythaibjj faces (0-0) @nickmuegge of @futures_mma in a 3 round bout 🎫s are available on @eventbrite & PPV 📺 will be available 🔥🔥🔥 Do NOT miss THIS or ANY of this SUPER stacked #FightCard 💰💰💰 #CQ17 #vigilantMma #BOOM #175MTKB #Tampa #813 #Teamreaper1 #DallasMall #MixedMartialArts #ThingsToDo #TampaBay #muaythailifestyle
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/10779-5396229623740744.png,"HAPPENING NEXT SATURDAY - WINGS & WHEELS DAY AT TOM B. DAVID: You don’t want to miss one of Calhoun’s most anticipated events each year…Wings & Wheels Day Fly-In and Car Show! ✈️Fly-Ins ✈️Warbird Rides (for adults) ✈️Static Displays 🌭Food Vendors 🏎Car Show #CalhounGa #GordonCountyGa For more information, visit the airport’s Facebook page at https://www.facebook.com/calhounairport/"
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/108283-889462139119441.png,"In honor of Asian Pacific American Heritage Month, we recognize the many important contributions to our country from Asian Americans and Pacific Islanders. Learn more about the many different homes, backgrounds and cultures that have contributed to this nation's history and continue to enrich our culture today. https://asianpacificheritage.gov/about/"
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/108845-5454850087879898.png,"This weekend is our 52nd Anniversary of bringing people closer to God and one another! Join the Homecoming themed Potluck and hymn based Singspiration on Saturday. On Sunday we are gathering as a whole church at 10 AM, with Rainbow Sunday School in session and the Martin Luther King Jr. Community Choir in concert at 6 PM. (Love offering)"
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/109766-5039650076088101.png,"Angela D'Amato is a Certified Health Coach and Advanced Food Healing Science Educator 🥼. She takes a holistic approach to create action plans tailored to your specific bio-individual needs. While traveling in India in 2003, Angela was inspired by energy healing, yoga 🧘, and meditation 😌. Angela is honored to be the team leader at The Healing Sanctuary. She is highly regarded in her field, and we can confidently state that her dedication and focus are on assisting those in identifying and resolving digestive issues. Angela is ready to assist in meeting their nutritional requirements and restoring them to baseline. You can click this link to know more about The Healing Sanctuary: https://bit.ly/3L10MqT:=:https://healingsanctuary.vegas/about-us/ VISIT US! 🌐: https://bit.ly/37IYSNG:=:https://vegashealthfitnesschamber.com/ #thehealingsanctuary #sundayspotlight #healthandfitness #lasvegashealthandfitness #healthandfitnesschamber #lasvegashealthandfitnesschamber #health #fitness #networking #expand #helpcommunity"
batch_24,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_24/110574-10159806866194099.png,Click the link below to register: http://events.constantcontact.com/register/event?llr=mwcbgpcab&oeidk=a07ej04mhdxe13532d0:=:https://events.r20.constantcontact.com/register/eventReg?oeidk=a07ej04mhdxe13532d0&oseq&c&ch
