tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1267210208402567168g,Bret “The Hitman” Hart is with the movement. Pardon me while I go put a cop in the Sharpshooter. 😤😤😤👊🏾 #BlackLivesMatter #JusticeForGeorge https://t.co/urWpIxtZRl,http://pbs.twimg.com/media/EZYI9zIUEAAAi-A.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,NA,NA
1250206366893068288g,@Acosta You're nothing more than a sensationalist Jim Boy! Your Cuban/Communist roots are showing. Be quiet! https://t.co/q6gM079VpH,http://pbs.twimg.com/media/EVmgEAwWoAYCg02.jpg,NA,NA,NA,NA,NA,NA,cuban,black,NA,NA,NA,NA
1223057711455096832g,"@DabGooLay It’s dried-out grocery store #sushi, not from Japanese grocery store. It’s gonna be &lt; from the get go. Not even the wholiest of @WholeFoods can halt the mechanized dehydration it’s “Oh-Noes-Salmonella” woke #Portal #AI imposes on rice-based á la carte. https://t.co/Alo7giOg8D",http://pbs.twimg.com/tweet_video_thumb/EPksgHyUcAABZqq.jpg,NA,NA,NA,NA,NA,NA,jap,asian,japanese,asian,NA,NA
1309153405412282368g,@MartinHeinrich Of course there was justice done. The officers were indicted and it went before a grad jury who rendered their decision. Why do you lousy #Democrats not respect the law and seek to divide #Americans? LawAndOrder #DefendThePolice #BackTheBlue @KOB4 @krqe @koat7news @ABQJournal https://t.co/vyTwjjN4ob,http://pbs.twimg.com/media/EisMFPJWkBAPIDf.jpg,NA,NA,NA,NA,NA,NA,backtheblue,black,NA,NA,NA,NA
1255336975466446849g,Y'all 🥴🥴 straight white people really love to act like they're oppressed https://t.co/bOhDjFzczK,http://pbs.twimg.com/media/EWvaUrWX0AANtaT.jpg,NA,NA,NA,NA,NA,NA,white people,white,NA,NA,NA,NA
1267624107299999745g,#PoliceBrutality #PoliceViolence #protests2020 https://t.co/Ada7s94Fcf,http://pbs.twimg.com/media/EZeBZ0gX0AImt8v.jpg,NA,NA,NA,NA,NA,NA,policebrutality,black,NA,NA,NA,NA
1233665988979195904g,@JayInslee @VP Democrats complained when President Trump put a travel ban on China because of #coronavirus You’re nothing but a bunch of #Liars Schumer tried to delete this tweet but you know once it’s out there it stays there! https://t.co/xFPuBGisrM,http://pbs.twimg.com/media/ER7crC4WAAAEwO9.jpg,NA,NA,NA,NA,NA,NA,travel ban,immigrant,NA,NA,NA,NA
1284510788560883712g,@JoeBiden So #RacistJoeBiden you've changed your views on #Black Americans as you spearheaded the 1994 Crime Bill that unjustly incarcerated 10s of thousands of black men and you didn't want your kids to go to school with black children? #JohnLewisGoodTrouble #JohnLewisBridge #JohnLewisRIP https://t.co/XyyuGjKF5V,http://pbs.twimg.com/media/EdN_wKwUwAI82dO.jpg,bi,bisexual,NA,NA,NA,NA,black men,black,racist,minority,NA,NA
1256443577917472773g,Double gay suicide #TheLastDriveIn https://t.co/Zzl82GgGok,http://pbs.twimg.com/tweet_video_thumb/EW_IxSSXYAEtgs_.jpg,gay,gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1231073071148281856g,Some crazy ass Cuban just tried to knock my door down. Like i don’t got the cuvie money on me rn https://t.co/VURVAcwyB8,http://pbs.twimg.com/media/ERWmbwAW4AAWA-j.jpg,NA,NA,NA,NA,NA,NA,cuban,black,NA,NA,NA,NA
