image,text
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344871937399533569g.png,Niggas in LA seeing the East Coast already in 2021 https://t.co/yemmPp5Qv5
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344874289728729089g.png,#HappyNewYear2021 Is Here !!!!! #BeSafe #BeBlessed #StayWoke 🙏🏼🙏🏼🙏🏼❤️❤️❤️🥰🥰🥰 https://t.co/hhJhPIgFK6
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344875441212035075g.png,Feliz #2021NewYear raza !!! Que su bondad nos abrace y nos acompañe en esta nueva aventura. #Adios2020 https://t.co/wbzkS5qE2Y
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344875863972712448g.png,"On the Chinese Calendar, 2021 is the year of the Ox. Let’s hope this horoscope is true! ✨ #Bye2020 https://t.co/A8kKEAIrs0"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344884758917099521g.png,"दिल्ली तेरे दरवाज़ों पे उमड़ा, जनतंत्र का सैलाब है । #कंवल #Kanwal #Poetry #Hindi #Urdu #Injustice #Tyranny #Dictatorship #Rights #HumanRightsViolations #HumanRights #Power #Protest #Politics #Democracy #India #Delhi #FarmersProtest #Farmers https://t.co/SCecMPaChg"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344888178570911744g.png,"What a contrast to other years! Rang in 2021 barely dressed in bed with my boyfriend, eating Crown Candy chocolates, drinking cheap sparkling wine, and watching the neighborhood gunshots and redneck fireworks on my security camera. No drama no complaints, happy 2021!#HAPPYNEWYEAR https://t.co/Yo5ZM6LAoN"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344888223521067008g.png,"I was AGAIN harassed for being gay. Our fight is not over! Stand up for who u are, what u are, and what u represent! What better way to clap back and share my QUEERNESS with THE WORLD other than photoshopping myself onto one of the most iconic albums ever! #lgbtq @britneyspears https://t.co/MAx2EPR1EH"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344888852754952192g.png,@MissUnequivokal Me and My Nigga My Nerve My Jelly Preserve https://t.co/BZiI6T7toN
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344892363064295429g.png,Filipino Traditions holding strong! ❤️ https://t.co/fTPijATOtH
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344893569841160193g.png,@mhMetroCenter no to Nazis. https://t.co/1IwK1X8Zsl
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344899775699697664g.png,It’s almost 11pm. I’ve eaten pizza and Chinese food. I’ve watched Midnight Sky (not great). Lost at Yahtzee 3 times. Tried (unsuccessfully) to calm my dog down from fireworks noise and bought a Dan Marino rookie card on eBay. Let’s drop this ball and call it a night... https://t.co/g4w6kH98C4
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344899947330564100g.png,@bertkreischer you dance like a white girl hahaha @2bearslive https://t.co/iBATlYSlWL
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344906411969572864g.png,Jamie Foxx embarrassed this nigga so bad https://t.co/7ySCWDLnR3
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344916901147848705g.png,"All things considered, I’ve been very lucky this year. Thanks, 2020, for giving me time to sleep, to read, to workout, to reorganize, to reconnect... Here’s to continuing to move forward in 2021. We got this. ✊❤️🌈#happynewyear #bye2020 #hello2021 #queer #strong #powerful https://t.co/Nf5v9a1a4A"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344934653673803777g.png,@loveqingdao Well I never really supported China. Only buying Chinese products and raising my children who are part Chinese and my Chinese family. But thankyou and I hope your New Year is better than the last. God bless you. https://t.co/WqrbUNwGFz
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344969663613198337g.png,Settt marked at 100 a g this nigga a rat https://t.co/EaVoVgiA7X
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344982460036214784g.png,"@MandiBee88 @SUBRATA30016572 @JoeBiden Oh and my favorite, holding hands with #kkk Grand Cyclops Democrat Senator Robert Byrd. https://t.co/6O20d2or2V"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344988545426055168g.png,Asalaamu Alaikum. Jumu'ah Mubarak♥️! https://t.co/sNs6PGFz6P . . . . #JumuahMubarak #JummahMubarak #kahf #surah #Covid19 #Washyourhands #SocialDistancing #Besafe #sanitize #Pandemic #Baitulmaal #hope #Compassion #hadith #islam #dua #prayer #hijab #Friday #newyear #newyear2021 https://t.co/DjU5bjrlML
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1344992045069443074g.png,Pffft. Mayans what do they know? Happy New Year humans. https://t.co/W2rrx0eJ4r
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345001287297937409g.png,Happy New Year Japanese style the year of the Cow! @najs @SasakawaUSA @JapanCons_Miami @UWF @JUMProgram @PensacolaMayor https://t.co/9aTVWEtgbS
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345001720695427073g.png,this stimmy not hittin feels a bit racist to me https://t.co/GDHQly27FO
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345015751426641923g.png,Happy New Year from your Cherokee Baseball Family! Wishing a wonderful 2021 for ALL!! https://t.co/aau5aFLMWK
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345022008405471235g.png,"Happy Haitian Independence Day to all our @pvdschools family of Hatian decent! Including our own @DrBarbaraMullen ! Read more on why this day was so important in world history, creating the first black free republic! https://t.co/m5o35CdKJ1. https://t.co/5T2zzSxmLS"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345022587345235968g.png,"“...those Black women artists and creators, who were stifled instead of cultivated, spent their lived in slow motion and, unaware of their own richness, they “stared out at the world, wildly, like lunatics—or quietly, like suicides...” -Mary Ellen Washington/Alice Walker https://t.co/wRlgMgDdfD"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345025522128932870g.png,"Gachas-mente hablando empece el año cool. En AL saque un barco SR de un drop. En Honkai solo me falto la stigmata B de la nueva Durandal... Ahora vamps a ver como me va con los rolls por Tama Caster en FGO. Tiren buena vibra, raza. https://t.co/HJ3cCVZlOx"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345025647559766016g.png,Our singles collection is live on bandcamp! This is an exclusive release featuring our three previously released singles and one new song! https://t.co/HMQZagWf6O #punk #punkrock #TransRightsAreHumanRights #BlackLivesMatter https://t.co/bmOlqJsiDN
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345026854793703428g.png,@JenaGriswold Starting a grassroots equity group that inspired a city equity &amp; racism task force. My kids. My county went 💙. Thankful for how easy it is to vote in our state! #TheFutureIsBright https://t.co/DrIGDQ9i4r
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345028233025249281g.png,"@dionnewarwick good morning beautiful sister I love how you are inspiring people in affluent positions to be a better person, I am Lakota /Sioux and we have much in common, you are a blessing and a beacon of hope, the women will lead this awakening @20UnionPrinters @ChrashleyAnn https://t.co/8fQxvsrURI"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345029944846508032g.png,It’s a real nigga birthday! 🥳🎂 gon head and bless ya girl if you feeling generous in this new year! #Jan1st #NewYearBaby https://t.co/aXJWmEfQQ6
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345030065390759938g.png,Thank you Indonesian Space Explorer InSpacE #ariss #sstv #iss #amsat #space #hamradio https://t.co/eVJdk8zKgI
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345044693650989064g.png,I got the tommy on my body it aint hilfigure We put them holes up in his body nigga he’ll figure....Out 🤝🦦 https://t.co/23txKumvXL
