year,image,text
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/1005611443982324.png,Classic 😂 #TheOffice #DiversityDay
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10153070836899999.png,"Lhakpa Sherpa has climbed Mount Everest 10 times, the most ascents ever by a woman. A lack of sponsorship deals means much of her training takes place at a Whole Foods in Connecticut where she works. https://nyti.ms/3DXe7QH:=:https://www.nytimes.com/2023/01/31/sports/lhakpa-sherpa-everest.html"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10153079008839999.png,"Duangpetch Promthep, the captain of the Thai boys soccer team that was trapped in a flooded cave for three weeks in 2018 before being rescued, has died in England. He was 17. https://nyti.ms/3S2u9hR:=:https://www.nytimes.com/2023/02/15/world/europe/thai-cave-rescue-soccer-captain-dead.html"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10158724217416216.png,"Introducing your 2023 RAGBRAI Route - Sioux City, Storm Lake, Carroll, Ames, Des Moines, Tama-Toledo, Coralville, and Davenport!"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10159214747510404.png,"She is my MOTHER. @therealruthecarter paid tribute to her late mother at the #Oscars and I couldn’t think of a better time to speak on the strength and will of Black mothers 🏆 Congratulations @therealruthecarter you deserve the world, you have certainly made your mother proud. #BETHer #BlackGirlMagic #WomensHistoryMonthBET"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10159726128122377.png,"Former President Donald Trump promises to ban Chinese nationals from buying farmland or owning telecommunications, energy, technology, and medical supplies companies in the U.S. if he returns to the White House. https://bit.ly/3wwIGZn:=:https://www.newsmax.com/newsfront/trump-president-ban/2023/01/18/id/1104946/"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10159742732097408.png,Lol how woke people debate
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10159765034932377.png,BREAKING: The U.S. military shot down a suspected Chinese surveillance balloon that had been transiting across the country for several days. https://bit.ly/3X2GfbK:=:https://www.youtube.com/watch?v=yyFnwEsz5LQ The balloon was shot down off the Carolina coast & debris will be recovered.
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10159966890792946.png,HISTORIC!🇲🇽 Santiago Gimenez breaks the record for the most goals scored by a Mexican international in a debut European season with 21⚽️
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10159984844872946.png,"After 16 years and five FIFA World Cup appearances, Mexico's captain Andrés Guardado announces his retirement from the national team 🇲🇽"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10160167818096928.png,"""It was a dream come true..."" 🥰"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10160182289159821.png,Chelsea win their first game of 2023 😅
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10160187797256928.png,"""OK suit!"" 😃 If you know... You know... #iykyk #ifyouknowyouknow #highestcompliment"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10160207618361928.png,"Join us on tours to Cuba, South Africa, Ghana, Uganda & Belize in 2023! https://traveling.black/tours/ Also join the Traveling Black notification list to hear about new tours when they are announced: https://traveling.black/tours/tour-notification/"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10160290347624821.png,Emi Martinez said his World Cup gesture was a bet from his Argentina teammates 😯
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10160353385835734.png,"One year ago today, Erin Jackson made history 👏 #BlackHistoryAlways"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10160383531700734.png,"Queens respecting queens 👑 (h/t CWilliamson44, IrishCoachIvey/TW)"
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10160409693639450.png,These cowboys are ready for the big stage in San Antonio.
2023,https://raw.githubusercontent.com/heranmane/label_studio_images/main/images_yr4/2023/10160443853449821.png,This Bruno Fernandes stat 🤯 (h/t StatmanDave/Twitter)
