tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1477143475975954433g,@zollotech Happy Gay Bear!! https://t.co/GeuLxe2sYH,http://pbs.twimg.com/tweet_video_thumb/FH_eKPyVEAUGGyC.jpg,gay,gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1477148827660394500g,Thanks guys! 🥰 #thevillagehiddeninthemeadows #newyearseve #friday #smallbusiness #WINNER #Thankful #NewYear_SKZ2022 #latinaownedbusiness #ShopLocal #anime #otaku #anitwt #animetwt #art #latina #Marvel #HunterXHunter #NARUTO https://t.co/BgYC2txS63,http://pbs.twimg.com/ext_tw_video_thumb/1477148785885122563/pu/img/H5gFYp7P4p_GY8zE.jpg,NA,NA,NA,NA,NA,NA,latina,hispanic,NA,NA,NA,NA
1477159956268949505g,You wanna have fun??? Join the #SilkCityBookClub or just #SCBC because spelling is gay. Day 1 Book 1 #ChasingTheBoogeyman by @RichardChizmar Let's see how many books we can read &amp; show Lenny how to be a #RealAssLenny @MikeSafo Put your reading glasses on &amp; LET'S GO! https://t.co/J1EEHn4xWn,http://pbs.twimg.com/media/FH_tJrwWQAA84GN.jpg,gay,gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1477183446845898753g,@Liz_Wheeler Here’s what we’ve got on our phones at 2:40pm on NYE north of the border in Quebec (read the lower part in English). That’s N. Korean fascism level right there https://t.co/3skeobVa2c,http://pbs.twimg.com/media/FIACg8lXoAMlBrK.jpg,NA,NA,NA,NA,NA,NA,korean,asian,NA,NA,NA,NA
1477297689159258119g,"🎉 Happy New Year! 🤩 Here’s the best smiles of 2021, from the Korean children we support. Let’s continue to bring more smiles to children who deserve it in 2022. #HappyNewYear #Korean #Children #Smile #Joy #Nonprofit #Charity #HAPPYNEWYEAR2022 https://t.co/BbQIK8Kw1P",http://pbs.twimg.com/ext_tw_video_thumb/1477297646435975169/pu/img/_O0PKtT584t94F1T.jpg,NA,NA,NA,NA,NA,NA,korean,asian,NA,NA,NA,NA
1477306324685885440g,El pueblo cubano se reinventa ante cada reto. Aportemos todos con nuestro cuidado y cuidando a los demás. Al #OmicronVirus también podemos vencerlo. #CubaVive y !!! VIVIRÁ POR SIEMPRE !!! #IzquierdaUnida https://t.co/KAGG1wbPMW,http://pbs.twimg.com/media/FIByRaGWYAMlE_N.jpg,bi,bisexual,NA,NA,NA,NA,cuban,black,cubano,black,NA,NA
1477315470021865473g,Undocumented? Live in VA and get your drivers license 🤯 https://t.co/kwOQ83JKEA,http://pbs.twimg.com/media/FIB6lraXEAkXyU2.jpg,NA,NA,NA,NA,NA,NA,undocumented,immigrant,NA,NA,NA,NA
1477317301141749763g,@MoneyMan this like 4 years in a row nigga be sliding 🔥🔥 https://t.co/OGe3LLkmyo,http://pbs.twimg.com/media/FIB8QVGXEAAYdCp.jpg,NA,NA,NA,NA,NA,NA,nigga,black,NA,NA,NA,NA
1477329736477155330g,New Years Day with my Depot Family! Thank you Asian Yummy for the wonderful lunch! https://t.co/kSltPdzle0,http://pbs.twimg.com/media/FICHgNnWQAMAv0x.jpg,NA,NA,NA,NA,NA,NA,asian,asian,NA,NA,NA,NA
1477330292356620294g,@DrOnesmoMushi1 @luqman_mohamedy @MabalaMakengeza No!!! Foreign companies in Tanzania won't hire people who don't speak English. Stop misleading people. Read here: https://t.co/izATwCC4vB,http://pbs.twimg.com/media/FICIEcxXwAQeC14.jpg,NA,NA,NA,NA,NA,NA,tanzania,black,NA,NA,NA,NA
1477341491328520194g,it’s January 1 at 7am my nigga lmaooo how https://t.co/zl6VgMU9K9,http://pbs.twimg.com/media/FICSQZ9VcAELh--.jpg,NA,NA,NA,NA,NA,NA,nigga,black,NA,NA,NA,NA
1477352552089980932g,Join us tomorrow @VBCGA 8:30 or 11:00 as we examine Hebrews 12:1-2. We’ll discuss spiritual weight loss in the New Year. https://t.co/zS2edRyr8h,http://pbs.twimg.com/media/FICcUFeXsAoGlGx.jpg,NA,NA,NA,NA,NA,NA,hebrews,middle eastern,NA,NA,NA,NA
1477360761538322438g,"Listen to Black lives matter postpartum: experiment in improvisational voyeur recording by Atieno (ankh) on #SoundCloud https://t.co/LRjUnZQASm SaTurDaY • 🎸🎸🎸🎸🎸• 🎸 janUARY 1, 2022 #VoicEoFaFriCaRADIO • ∆nKh • ° At iLe ibeji FarM • The HouSe of KasaGaM • https://t.co/yCoLVTe3fv",http://pbs.twimg.com/media/FICjyJ1XEAwMpjx.jpg,NA,NA,NA,NA,NA,NA,black lives,black,NA,NA,NA,NA
1477373366915018754g,Hi! I ❤ #Barbie #Dolls List: #CalvinKlein #GayParisienne #HolidayTraditions #Japan #Kenyan #VictorianBarbie #CedricBear #VictorianElegance #VictorianLady #WinterRhapsody #YuletideRomance 💃💃🏻 #Collectibles #Vintage #New #MumsieofStratford #Free #Games at: https://t.co/QUTLipvjnG https://t.co/ENLP1EEDDs,http://pbs.twimg.com/ext_tw_video_thumb/1477373307393617922/pu/img/46Xs6nzTkKLrmcEm.jpg,bi,bisexual,NA,NA,gay,gay,jap,asian,kenyan,black,NA,NA
1477377231223619589g,@lazurkowich @aggieloveseggs @DrScherf Well known member of the racist radical left: Sergei Zubov https://t.co/u0jZhILP2V,http://pbs.twimg.com/media/FICywwLVgAA8KYp.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1477388967695708160g,"“How to behave” during isolation, which turns out is much worse than being in a Japanese American internment camp and dealing with the AIDS FOR BREEDERS is about at parity with HIV except you people don’t have shaming Karposi sarcoma lesions on your body. https://t.co/IJI6CjY09s",http://pbs.twimg.com/media/FIC9aJEVkAEXYRh.jpg,NA,NA,NA,NA,NA,NA,jap,asian,japanese,asian,NA,NA
1477422412585177089g,THIS was really why they suspended Jewish Deplorable! #LetsGoBrandon https://t.co/DxvPtSE9UB,http://pbs.twimg.com/media/FIDb2qKXIAIDys2.jpg,NA,NA,NA,NA,NA,NA,jewish,jewish,jew,jewish,NA,NA
1477450200025292800g,if this number call me one more time i’m gone scream. baby i’m 13 hours away from alabama LEAVE ME ALONE😩😩😩😩😩😩😩 ion even call my niggas this much😒😒😒 https://t.co/fs6sQf0Qns,http://pbs.twimg.com/media/FID1ID4XIAYd6Mt.jpg,NA,NA,NA,NA,NA,NA,nigga,black,niggas,black,NA,NA
1477453939209650179g,Best movie I watched that came out in 2021 is Cliff Walkers. I wanna watch again so bad. I can’t believe a Chinese movie about socialist revolutionaries showed at my local Cinemark https://t.co/ueHx3E99CA,http://pbs.twimg.com/media/FID4hiZWYAQJZxU.jpg,NA,NA,NA,NA,NA,NA,chinese,asian,NA,NA,NA,NA
1477456999260762112g,@NoVaccine3 @KeironKeironmh Right but before that he was talking to the Jews not the church. The church isn't appointed for gods wrath. https://t.co/Xn9v12j6yP,http://pbs.twimg.com/media/FID7TaIX0BU8IT0.jpg,NA,NA,NA,NA,NA,NA,jews,jewish,jew,jewish,NA,NA
1477468314968334337g,"defense of himself and his family to advocacy for total nonviolence became overshadowed both by his own nonviolent rhetoric and his opponents’ motives. But like many Southern black people, they armed themselves before the 1960s against violent attacks by white supremacists https://t.co/CvHgMJvqcm",http://pbs.twimg.com/media/FIEFmjcVQAAdD26.jpg,NA,NA,NA,NA,NA,NA,black people,black,NA,NA,NA,NA
1477492737511460868g,Our Haitian Cultural History Each January 1st. https://t.co/I8CIn77N29,http://pbs.twimg.com/media/FIEbzvZWUAALvZO.jpg,NA,NA,NA,NA,NA,NA,haitian,black,NA,NA,NA,NA
1477518620838150147g,La mayoría de la raza en Hermosillo https://t.co/U9qoAawKA4,http://pbs.twimg.com/media/FIEzWnNVgAEB8tk.jpg,NA,NA,NA,NA,NA,NA,raza,hispanic,NA,NA,NA,NA
1477583790881099776g,Biggest reason for failure of AAP in Punjab is going to be the Hindi language top leader are not able to deliver them in PUNJABI https://t.co/ReGSKvcGiF,http://pbs.twimg.com/media/FIFuoA1WYAMIaQU.jpg,bi,bisexual,NA,NA,NA,NA,hindi,asian,punjab,asian,NA,NA
1477608159652892676g,@shiruofshiru @Will_Bunch Director of Saudi Intel Prince Turki Alfaisal Al Saud makes the connection between education &amp; the violence &amp; chaos in Afghanistan in his 2021 book The Afghanistan File. We need to address education &amp; our own religious extremism as well https://t.co/MVrmg79vx2,http://pbs.twimg.com/media/FIGEybcVIAAUw_q.jpg,NA,NA,NA,NA,NA,NA,afghanistan,middle eastern,NA,NA,afg,middle eastern
